字彙編號對應表_前一百個TF-IDF權重⾼詞彙

word        index

甲殼蟲樂隊      25333
車手         29145
不行         1259
熟男         41103
金正恩        41403
廠廠         2970
顏楷         16376
黎明         951
盒盒         6350
蝴蝶         25960
咪路         11317
膝枕         24145
一邊         2447
音樂         1201
林依晨        1286
之於         31382
張老師        5268
純粹         34803
寒冰甲        39455
恰吉         40705
孤單         23713
滾了         34000
電風扇        4319
嘿嘿嘿        28337
雷電         7927
唱過         2858
卦卦         31579
現場         6114
烏骨雞        4140
脫節         33
憂傷         3201
搖落         16733
巷口         22803
乳抬         23666
女孩         4191
芝麻         13534
首篇         421
我弟         7883
民族         24237
一棟         18964
男友         139
開心         3410
當人         380
高錯         14299
廉航         590
冷血         17376
蛋糕         15058
機車行        10924
皇帝         13659
粉圓         33900
核核         874
爆掉         7665
鹽巴         2366
新竹         2120
南北         26752
金剛         1451
奮起         1922
第二代        30172
金牌         4444
瑞雪         1728
魚魚         20190
短髮         18101
公然侮辱       13752
手尾         25758
貢丸         31697
圖勒         35737
雙親         41533
集團         174
排球         33356
很多         8
清純         28739
音樂課        15312
開罐器        4026
車廂         34063
韓國         2747
高中         98
上帝         4581
七點         19516
桌椅         8398
中醫         2836
林森北路       7906
火龍果        10112
俊美         35970
阿妹         2085
劣化         34172
改名字        29832
忙了         12186
脫光         18145
外送         22611
孤逃         27498
挑食         9145
工具         4233
志玲         40484
騎士         9909
捕手         14501
貓貓         239
紐約         20377
間諜         37923
農場         30264
松屋         26972
