字彙編號對應表_前一百個高頻詞彙

word        index

八卦         25
有沒有        22
什麼         112
台灣         20
是不是        230
可以         162
為什麼        1
怎麼         472
肥宅         42
現在         825
比較         124
中國         383
不會         4
真的         419
自己         432
知道         513
怎麼辦        517
沒有         106
不是         19
就是         27
一個         390
一樣         328
還是         165
這樣         450
如果         480
覺得         257
喜歡         345
日本         496
大家         331
一堆         45
哪個         34
有人         58
怎樣         74
很多         8
不要         9
時候         109
應該         1311
美國         100
到底         127
女生         215
還有         990
一直         412
感覺         142
這麼         39
然後         210
如何         343
朋友         2813
問題         56
幹嘛         826
出來         849
為何         176
看到         140
不用         384
那麼         50
這種         3033
東西         220
一定         1876
別人         55
其實         537
根本         118
鄉民         476
台北         1524
正妹         279
開始         491
多少         163
一下         663
可能         429
甚麼         1093
的話         1398
老師         1457
已經         2108
希望         691
好吃         1561
不能         4500
今天         416
一起         530
高雄         850
最後         30
只有         269
甲甲         372
手機         982
南部         66
這個         1429
那個         1491
以前         298
姆咪         957
國家         5574
妹妹         272
時間         593
請問         824
變成         484
學校         471
韓國         2747
館長         950
不到         87
老婆         349
當然         597
發現         1681
遊戲         999
而已         1283
